file,change_number,code_churn,owner_number,pre-release defect
core-dictionary/src/main/java/org/apache/kylin/dict/StringBytesConverter.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/TableColumnValueEnumerator.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/TableColumnValueSortedEnumerator.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/TimeStrDictionary.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/TrieDictionary.java,2,54,2,1
core-dictionary/src/main/java/org/apache/kylin/dict/TrieDictionaryBuilder.java,1,2,1,1
core-dictionary/src/main/java/org/apache/kylin/dict/TrieDictionaryForest.java,1,2,1,1
core-dictionary/src/main/java/org/apache/kylin/dict/TrieDictionaryForestBuilder.java,1,17,1,1
core-job/src/main/java/org/apache/kylin/engine/EngineFactory.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/engine/IBatchCubingEngine.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/common/PatternedLogger.java,5,127,2,1
core-job/src/main/java/org/apache/kylin/job/common/ShellExecutable.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/constant/ExecutableConstants.java,4,6,3,1
core-job/src/main/java/org/apache/kylin/job/constant/JobStatusEnum.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/constant/JobStepCmdTypeEnum.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/constant/JobStepStatusEnum.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/constant/JobTimeFilterEnum.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/dao/ExecutableDao.java,1,164,1,1
core-job/src/main/java/org/apache/kylin/job/dao/ExecutableOutputPO.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/dao/ExecutablePO.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/engine/JobEngineConfig.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/exception/ExecuteException.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/exception/IllegalStateTranferException.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/exception/JobException.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/exception/LockException.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/exception/PersistentException.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/exception/SchedulerException.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/exception/ShellException.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/execution/AbstractExecutable.java,2,29,2,1
core-job/src/main/java/org/apache/kylin/job/execution/BrokenExecutable.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/execution/ChainedExecutable.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/execution/CheckpointExecutable.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/execution/DefaultChainedExecutable.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/execution/DefaultOutput.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/execution/Executable.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/execution/ExecutableContext.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/execution/ExecutableManager.java,1,23,1,1
core-job/src/main/java/org/apache/kylin/job/execution/ExecutableState.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/execution/ExecuteResult.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/execution/Idempotent.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/execution/Output.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/impl/threadpool/DefaultContext.java,0,0,0,0
core-job/src/main/java/org/apache/kylin/job/impl/threadpool/DefaultFetcherRunner.java,1,104,1,1
